domain,countryCode,LON,PageViewsEnglish,birthyear,birthstate,occupation,en_curid,numlangs,birthcity,AverageViews,TotalPageViews,countryName,HPI,countryCode3,PageViewsNonEnglish,name,L_star,gender,industry,StdDevPageViews,continentName,LAT,wikiquote name
SCIENCE & TECHNOLOGY,US,-81.966667,4605250,1953,GA,ECONOMIST,1838387,37,Augusta,166832.5135,6172803,UNITED STATES,21.733623,USA,1567553,Ben Bernanke,3.402527251,Male,SOCIAL SCIENCES,28302.66024,North America,33.466667,Ben Bernanke
SCIENCE & TECHNOLOGY,US,-73.990278,1067914,1953,NY,POLITICAL SCIENTIST,18938099,26,New York,58880.38462,1530890,UNITED STATES,19.87220462,USA,462976,Norman Finkelstein,3.734069122,Male,SOCIAL SCIENCES,10284.45225,North America,40.692778,Norman Finkelstein
SCIENCE & TECHNOLOGY,US,-73.959722,2335849,1953,NY,COMPUTER SCIENTIST,3434143,89,New York,62978.03371,5605045,UNITED STATES,24.7742748,USA,3269196,Richard Stallman,10.2001549,Male,COMPUTER SCIENCE,18475.56833,North America,40.790278,Richard Stallman
ARTS,US,-73.904167,6964805,1953,NY,MUSICIAN,85226,41,New York,308153.8293,12634307,UNITED STATES,23.67694504,USA,5669502,Cyndi Lauper,5.309001098,Female,MUSIC,51884.5723,North America,40.774444,Cyndi Lauper
SCIENCE & TECHNOLOGY,US,-73.757222,3356728,1953,NY,ECONOMIST,313701,54,Albany,98581.98148,5323427,UNITED STATES,21.96687857,USA,1966699,Paul Krugman,5.033821337,Male,SOCIAL SCIENCES,52364.67604,North America,42.6525,Paul Krugman
ARTS,IE,-6.350278,10135887,1953,,ACTOR,180738,62,Drogheda,294517.0968,18260060,IRELAND,24.10655908,IRL,8124173,Pierce Brosnan,6.112506204,Male,FILM AND THEATRE,121747.0897,Europe,53.713889,Pierce Brosnan
ARTS,GB,-0.973056,2243376,1953,,MUSICIAN,20032,42,Reading,140655.5238,5907532,UNITED KINGDOM,24.01322906,GBR,3664156,Mike Oldfield,8.230805255,Male,MUSIC,17789.78061,Europe,51.454167,Mike Oldfield
ARTS,GB,-0.896028,5025671,1953,,COMIC ARTIST,18932702,33,Northampton,214341.8485,7073281,UNITED KINGDOM,21.54566218,GBR,2047610,Alan Moore,3.495556057,Male,DESIGN,46843.35375,Europe,52.237211,Alan Moore
INSTITUTIONS,GB,-0.185,1328431,1953,,POLITICIAN,216970,26,Hampstead Garden Suburb,59559.46154,1548546,UNITED KINGDOM,18.1990872,GBR,220115,Peter Mandelson,2.177862715,Male,GOVERNMENT,15371.85435,Europe,51.583,Peter Mandelson
SCIENCE & TECHNOLOGY,GB,0.119,1003230,1953,,MATHEMATICIAN,2027,42,Cambridge,54858.42857,2304054,United Kingdom,22.12957571,GBR,1300824,Andrew Wiles,8.617446743,Male,MATH,16962.82902,Europe,52.205,Andrew Wiles
